vehicle_id,manufacturer,range,model,derivative,transmission,trim,sector,bodystyle,fueltype,fueldelivery,engine_litres,drivetrain
89096,BENTLEY,BENTAYGA,BENTAYGA ESTATE,3.0 V6 Hybrid 5dr Auto,AUTOMATIC,"",4X4 LARGE,ESTATE,PETROL/PLUGIN ELEC HYBRID,TURBO,3.0,FOUR WHEEL DRIVE
84387,CITROEN,SPACE TOURER,SPACE TOURER DIESEL ESTATE,2.0 BlueHDi 180 Business Lounge M [7 St] 5dr EAT8,AUTOMATIC,BUSINESS LOUNGE,MPV LARGE,ESTATE,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
78815,BMW,5 SERIES,5 SERIES SALOON,530e SE 4dr Auto,AUTOMATIC,SE,PRESTIGE LARGE,SALOON,PETROL/PLUGIN ELEC HYBRID,TURBO,2.0,REAR WHEEL DRIVE
85298,SEAT,IBIZA,IBIZA DIESEL HATCHBACK,1.6 TDI 95 FR Sport [EZ] 5dr,MANUAL,FR SPORT,SUPERMINI,HATCHBACK,DIESEL,TURBO,1.6,FRONT WHEEL DRIVE
83370,BMW,X2,X2 DIESEL HATCHBACK,sDrive 18d M Sport X 5dr Step Auto,AUTOMATIC,M SPORT X,4X4 MEDIUM,HATCHBACK,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
85020,SEAT,ATECA,ATECA DIESEL ESTATE,2.0 TDI SE [EZ] 5dr DSG 4Drive,AUTOMATIC,SE,MPV LARGE,ESTATE,DIESEL,TURBO,2.0,FOUR WHEEL DRIVE
89554,AUDI,A4,A4 DIESEL SALOON,30 TDI Sport 4dr S Tronic,AUTOMATIC,SPORT,PRESTIGE MEDIUM,SALOON,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
84445,MERCEDES-BENZ,C CLASS,C CLASS CABRIOLET,C200 4Matic AMG Line Premium Plus 2dr 9G-Tronic,AUTOMATIC,AMG LINE,PRESTIGE CONVERTIBLE MEDIUM,CABRIOLET,PETROL,TURBO,1.5,FOUR WHEEL DRIVE
90327,MERCEDES-BENZ,CLA CLASS,CLA CLASS AMG SHOOTING BRAKE,CLA 35 4Matic 5dr Tip Auto,AUTOMATIC,AMG,PRESTIGE ESTATE MEDIUM,ESTATE,PETROL,TURBO,2.0,FOUR WHEEL DRIVE
82182,VOLVO,XC40,XC40 DIESEL ESTATE,2.0 D3 R DESIGN 5dr AWD Geartronic,AUTOMATIC,R DESIGN,4X4 MEDIUM,ESTATE,DIESEL,TURBO,2.0,FOUR WHEEL DRIVE
89623,AUDI,Q2,Q2 ESTATE,35 TFSI Vorsprung 5dr,MANUAL,VORSPRUNG,4X4 SMALL,ESTATE,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
85515,AUDI,A3,A3 DIESEL SALOON,30 TDI 116 Sport 4dr [Tech Pack],MANUAL,SPORT,PRESTIGE MEDIUM,SALOON,DIESEL,TURBO,1.6,FRONT WHEEL DRIVE
90364,SEAT,LEON,LEON SPORT TOURER,1.5 TSI EVO 150 FR Black Edition [EZ] 5dr,MANUAL,FR BLACK EDITION,"",ESTATE,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
82171,VOLVO,XC40,XC40 DIESEL ESTATE,2.0 D3 Momentum 5dr,MANUAL,MOMENTUM,4X4 MEDIUM,ESTATE,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
88807,NISSAN,X-TRAIL,X-TRAIL DIESEL STATION WAGON,1.7 dCi N-Connecta 5dr [7 Seat],MANUAL,N-CONNECTA,4X4 LARGE,STATION WAGON,DIESEL,TURBO,1.7,FRONT WHEEL DRIVE
89129,SSANGYONG,TIVOLI,TIVOLI HATCHBACK,1.6 SE 5dr,MANUAL,SE,MEDIUM,HATCHBACK,PETROL,INJECTION,1.6,FRONT WHEEL DRIVE
90679,VAUXHALL,CORSA,CORSA DIESEL HATCHBACK,1.5 Turbo D SE Nav 5dr,MANUAL,SE NAV,LOWER MEDIUM,HATCHBACK,DIESEL,TURBO,1.5,FRONT WHEEL DRIVE
83614,FORD,FOCUS,FOCUS HATCHBACK,1.0 EcoBoost 125 ST-Line Nav 5dr Auto,AUTOMATIC,ST-LINE,MEDIUM,HATCHBACK,PETROL,TURBO,1.0,FRONT WHEEL DRIVE
87212,MCLAREN,SENNA,SENNA COUPE,V8 Stealth Cosmos 2dr SSG Auto,AUTOMATIC,STEALTH COSMOS,PRESTIGE COUPE LARGE,COUPE,PETROL,TURBO,4.0,REAR WHEEL DRIVE
70800,BMW,3 SERIES,3 SERIES GRAN TURISMO DIESEL HATCHBACK,320d xDrive Sport 5dr Step Auto [Prof Media],AUTOMATIC,SPORT,PRESTIGE MEDIUM,HATCHBACK,DIESEL,TURBO,2.0,FOUR WHEEL DRIVE
90046,FORD,FIESTA,FIESTA DIESEL HATCHBACK,1.5 TDCi Active B+O Play Navigation 5dr,MANUAL,ACTIVE B+O PLAY,LOWER MEDIUM,HATCHBACK,DIESEL,TURBO,1.5,FRONT WHEEL DRIVE
84705,MAZDA,6,MAZDA6 DIESEL TOURER,2.2d [184] Sport Nav+ 5dr [Safety Pack],MANUAL,SPORT NAV+,ESTATE MEDIUM,ESTATE,DIESEL,TURBO,2.2,FRONT WHEEL DRIVE
89894,BMW,1 SERIES,1 SERIES DIESEL HATCHBACK,116d M Sport 5dr Step Auto,AUTOMATIC,M SPORT,PRESTIGE LOWER,HATCHBACK,DIESEL,TURBO,1.5,FRONT WHEEL DRIVE
